region,village,district,source_name,lab_identifier_code,source_type,easting,northing,latitude,longitude,ecoli,ph,electrical_conductivity,turbidity,color_apparent,total_dissolved_salts,total_alkalinity,bi_carbonates,total_hardness,calcium_hardness,magnesium_hardness,flouride,chloride,sulphate,nitrites,nitrates_n,ammonium_n,phosphates_p,water_quality
Central,Nakasongola A,Nakasongola,Nakasongola A village borehole,E22/09427,Bore Hole,1.312917,32.465301,0.000292817,28.51126783,10,6.65,144.6,2.8,29,101.22,42,51.24,43.2,19,24.2,0.10825,11.56837,1.12525,0.0022,0.34537,0.08495,0.16824,not admissible
Central,Nakasongola  ,Nakasongola,Nakasongola central police borehole,E22/09429,Bore Hole,1.313042,32.465025,0.000292814,28.51126788,32,6.23,666,2.1,4,466.2,130,158.6,135.8,68.4,67.4,0.62627,67.92879,12.34891,0.00746,28.99053,0.08557,0.1888,not admissible
Central,Ssasira,Nakasongola,St. Kizito Sasira borehole,E22/09430,Bore Hole,1.333789,32.416601,0.000292378,28.51126806,1,6.01,264,1.8,0.2432,184.8,92,112.24,52.4,25.4,27,0.17837,12.12451,23.25799,0.00299,3.02935,0.03195,0.15911,not admissible
Eastern,Kigulu,Buikwe,NWSC Nkokonjeru PSP,E22/09931,Tap,491344,26890,0.243282025,32.92221004,1,6.4,132,2.5,20,92.4,50,61,40.2,22.4,17.8,0.24,3.9,0.9,0.01,3.16,0.11,0.07,not admissible
Eastern,Kibali,Buikwe,Kibali shallow well,E22/09934,Unprotected Spring Well,498726,26789,0.242368467,32.98855078,1,5.8,166,1.7,0.2432,116.2,52,63.44,57.6,34.8,22.8,0.19,8.1,6.5,0.001,4.62,0.06,0.13,not admissible
Eastern,Nakigaya,Buikwe,Nakigaya Protected spring,E22/09935,Bore Hole,506445,30251,0.273690125,33.05792023,101,5.9,87,3.1,27,60.9,37,45.14,31.4,14.2,17.2,0.2,1.7,3.5,0.001,2.44,0.08,0.02,not admissible
Eastern,Kigayi,Buikwe,Buwooya mosque borehole,E22/09936,Protected Spring Well,504301,32217,0.291477213,33.0386525,1,5.9,81,13,22,56.7,38,46.36,35.2,27,8.2,0.13,1.3,0.8,0.02,0.25,0.04,0.04,not admissible
Eastern,Majija,Buikwe,NWSC Buikwe PSP,E22/09937,Tap,503217,33566,0.303682064,33.02891077,1,6.4,142,1.4,0.2432,99.4,65,79.3,49.6,27,22.6,0.25,2.5,0.8,0.001,1.22,0.09,0.05,not admissible
Eastern,Misindye upper,Buikwe,NWSC Buikwe PSP,E22/09942,Tap,503034,38598,0.349208131,33.02726629,1,6.8,279,2.2,3,195.3,130,158.6,114.2,61.4,52.8,0.24,7.4,1.5,0.001,0.69,0.17,0.18,not admissible
Eastern,Kawuku,Buikwe,NWSC Lugazi final treated water,E22/09943,Tap,496576,39968,0.361602933,32.96922877,1,6.1,90,1.7,0.2432,63,41,50.02,37.4,22.2,15.2,0.16,2.9,1.3,0.001,1.09,0.03,0.02,not admissible
Eastern,Kibuba,Buikwe,NWSC Lugazi PSP - far point,E22/09945,Tap,494884,40689,0.368125977,32.95402286,1,6.2,93,2.1,5,65.1,37,45.14,46.6,20.6,26,0.13,4,1.4,0.001,0.94,0.02,0.01,not admissible
Eastern,Bulagala B,Kamuli,Kasowole P/Sch borehole DWD 86267,E22/09951,Bore Hole,510054,123659,1.118778936,33.09036983,8,6.4,552,2.1,0.2432,386.4,190,231.8,156.4,98.8,57.6,0.55,20,61,0.01,3.65,0.07,0.19,not admissible
Eastern,Busuna,Kamuli,Busuna shallow well,E22/09953,Unprotected Spring Well,510908,113543,1.02725652,33.09804305,78,5.7,230,2.8,13,161,37,45.14,40.4,23,17.4,0.21,14,26,0.01,4.37,0.12,0.01,not admissible
Eastern,Namuyingi,Kamuli,Namuyinji HC II borehole,E22/09954,Bore Hole,511123,111497,1.008745743,33.09997493,1,6.4,530,1.9,0.2432,371,110,134.2,166.8,93.6,73.2,0.5,72,9.4,0.01,3.1,0.02,0.09,not admissible
Eastern,Bulindi,Kamuli,Bulindi shallow well,E22/09955,Unprotected Spring Well,512469,104708,0.947323432,33.1120709,1,5.1,129,2.4,0.2432,90.3,14,17.08,26.2,13.4,12.8,0.23,0.9,18,0.001,6.1,0.05,0.01,not admissible
Eastern,Namaganda Butooli,Kamuli,Namaganda shallow well,E22/09958,Bore Hole,522216,95705,0.865867203,33.19967182,1,5.4,184,1.8,0.2432,128.8,21,25.62,29.4,20.6,8.8,0.17,13,22,0.001,3.52,0.02,0.05,not admissible
Eastern,Naminage,Kamuli,Naminage community borehole DWD 28947,E22/09959,Bore Hole,520263,95734,0.866130463,33.18211883,1,6.2,621,2.1,1,434.7,150,183,238,82,156,0.4,48,39,0.1,29,0.05,0.11,not admissible
Eastern,Kitayundwa,Kamuli,Kitayundwa community borehole,E22/09960,Bore Hole,517950,98688,0.892857006,33.16133136,1,6.6,576,1.8,0.2432,403.2,240,292.8,254.8,188,66.8,0.34,7.2,44,0.001,8.72,0.08,0.12,not admissible
Eastern,Kitayundwa,Kamuli,Kitayundwa community borehole,E22/09960,Bore Hole,517895,99191,0.892857006,33.16133136,10,6.5,571,2.5,4,399.7,175,213.5,210.2,128.6,81.6,0.24,27,26,0.01,13,0.01,0.01,not admissible
Eastern,Namisambya,Kamuli,Namisambya shalllow well,E22/09962,Unprotected Spring Well,515772,100461,0.908898616,33.14175655,1,5.9,131,1.7,0.2432,91.7,16,19.52,30.4,21.2,9.2,0.1,7.1,6.7,0.001,6.12,0.27,0.02,not admissible
Eastern,Namisambya 2,Kamuli,Namisambya community borehole,E22/09963,Bore Hole,515581,100613,0.910273867,33.14003993,1,5.8,557,1.8,0.2432,389.9,74,90.28,146.4,79.2,67.2,0.23,55,115,0.01,3.2,0.002,0.1,not admissible
Eastern,Bukwenge,Kamuli,Bukwenge COU borehole,E22/09964,Bore Hole,513070,102171,0.924370327,33.11747189,1,6.2,434,1.8,0.2432,303.8,85,103.7,120.4,77.4,43,0.34,28,38,0.001,11,0.18,0.19,not admissible
Eastern,Bulyampanga,Kamuli,community borehole,E22/09969,Bore Hole,510133,98391,0.890172391,33.09107359,1,6,162,1.7,0.2432,113.4,53,64.66,42.4,23.2,19.2,0.27,9.2,5.6,0.01,2.57,0.08,0.3,not admissible
Eastern,Busobya zone,Kamuli,Busobya community borehole,E22/09972,Bore Hole,505754,92887,0.840376878,33.05171526,1,5.8,161,1.6,0.2432,112.7,52,63.44,33.8,20,13.8,0.32,4.5,2.2,0.01,5.99,0.05,0.1,not admissible
Central,Wampologoma,Kayunga,Wampologma community b/hole DWD 59654,E22/09973,Bore Hole,500569,87275,0.789603798,33.00511394,1,6.1,220,1.9,0.2432,154,100,122,79,68.8,10.2,0.22,1.2,7.8,0.01,1.43,0.04,0.08,not admissible
Central,Bugonda,Kayunga,Bugonda community b/hole WDD 178,E22/09974,Bore Hole,499418,85045,0.769428326,32.99476924,1,6.8,785,1.8,0.2432,549.5,195,237.9,318.4,149,169.4,0.8,73,80,0.001,0.82,0.002,0.03,not admissible
Central,Bugonda,Kayunga,Bugonda community b/hole WDD 178,E22/09974,Bore Hole,500922,83640,0.769428326,32.99476924,1,5.7,197,1.8,0.2432,137.9,34,41.48,44,21.4,22.6,0.07,1.7,5.8,0.001,16,0.11,0.03,not admissible
Central,Buganda,Kayunga,Buganda borehole,E22/09976,Bore Hole,501106,83046,0.751342769,33.00994019,1,5.8,756,1.6,0.2432,529.2,60,73.2,212.8,112.2,100.6,0.15,124,91,0.001,5.49,0.05,0.02,not admissible
